Time (ms),Raw ECG
0.01,0.00
8.00,0.28
16.00,0.92
24.00,1.07
32.01,0.72
40.00,0.74
48.00,0.77
56.00,0.32
64.01,-0.31
72.00,-0.50
80.00,0.03
88.00,0.64
96.00,0.70
104.01,0.47
112.01,0.46
120.00,0.48
128.01,0.36
136.00,0.07
144.00,-0.32
152.00,0.10
160.00,0.30
168.00,-0.47
176.01,-0.02
184.01,0.65
192.01,0.06
200.00,0.08
208.00,0.30
216.00,0.01
224.01,0.08
232.01,0.10
240.00,-0.03
248.01,0.02
256.01,-0.02
264.00,-0.35
272.00,-0.70
280.00,-0.25
288.01,0.23
296.01,-0.15
304.00,-0.18
312.01,0.00
320.00,-0.19
328.00,-0.16
336.00,-0.12
344.00,-0.22
352.01,-0.18
360.00,-0.20
368.01,-0.23
376.00,-0.22
384.01,-0.24
392.00,-0.25
400.01,-0.25
408.00,-0.27
416.00,-0.27
424.01,-0.28
432.00,-0.28
440.01,-0.01
448.01,0.35
456.01,-0.15
464.01,-0.64
472.00,-0.28
480.00,-0.27
488.01,-0.48
496.01,-0.30
504.01,-0.35
512.01,-0.40
520.00,-0.03
528.01,0.56
536.00,0.44
544.00,-0.52
552.01,-0.39
560.00,0.64
568.00,0.32
576.00,-0.41
584.01,0.25
592.01,0.40
600.01,-0.75
608.00,-0.57
616.00,0.54
624.01,0.14
632.00,-0.54
640.01,0.13
648.00,0.54
656.01,0.06
664.00,0.11
672.01,0.24
680.00,0.01
688.01,0.07
696.00,0.06
704.01,-0.04
712.01,-0.01
720.00,-0.05
728.00,-0.09
736.00,-0.09
744.00,-0.12
752.01,-0.14
760.01,-0.16
768.01,-0.18
776.00,-0.19
784.00,-0.21
792.00,-0.22
800.01,-0.23
808.00,-0.24
816.01,-0.26
824.01,-0.26
832.00,-0.27
840.01,-0.28
848.01,-0.00
856.01,0.35
864.00,-0.15
872.01,-0.65
880.01,-0.28
888.00,-0.28
896.00,-0.48
904.00,-0.30
912.01,-0.35
920.01,-0.40
928.01,-0.32
936.00,-0.36
944.01,-0.35
952.00,-0.32
960.01,-0.34
968.00,-0.05
976.00,0.60
984.01,0.47
992.01,-0.23
1000.00,0.29
1008.00,0.54
1016.00,-0.63
1024.01,-0.49
1032.01,0.38
1040.01,-0.11
1048.00,-0.23
1056.00,-0.17
1064.01,-0.80
1072.01,-0.56
1080.00,-0.04
1088.00,0.30
1096.00,0.64
1104.01,0.33
1112.01,15.41
1120.00,78.69
1128.01,167.45
1136.00,215.10
1144.00,235.33
1152.01,270.69
1160.00,332.38
1168.01,431.72
1176.01,497.90
1184.00,483.77
1192.01,462.07
1200.00,433.66
1208.01,364.11
1216.00,286.00
1224.00,184.60
1232.00,36.48
1240.00,-90.07
1248.01,-164.49
1256.00,-218.81
